31/12/2019,0
01/01/2020,0
02/01/2020,0
03/01/2020,0
04/01/2020,0
05/01/2020,0
06/01/2020,0
07/01/2020,0
08/01/2020,0
09/01/2020,0
10/01/2020,0
11/01/2020,0
12/01/2020,0
13/01/2020,0
14/01/2020,0
15/01/2020,0
16/01/2020,0
17/01/2020,0
18/01/2020,0
19/01/2020,0
20/01/2020,0
21/01/2020,0
22/01/2020,0
23/01/2020,0
24/01/2020,0
25/01/2020,0
26/01/2020,0
27/01/2020,0
28/01/2020,0
29/01/2020,0
30/01/2020,0
31/01/2020,0
01/02/2020,0
02/02/2020,0
03/02/2020,0
04/02/2020,0
05/02/2020,0
06/02/2020,0
07/02/2020,0
08/02/2020,0
09/02/2020,0
10/02/2020,0
11/02/2020,0
12/02/2020,0
13/02/2020,0
14/02/2020,0
15/02/2020,0
16/02/2020,0
17/02/2020,0
18/02/2020,0
19/02/2020,0
20/02/2020,0
21/02/2020,0
22/02/2020,0
23/02/2020,0
24/02/2020,0
25/02/2020,0
26/02/2020,0
27/02/2020,0
28/02/2020,0
29/02/2020,0
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,1
07/03/2020,1
08/03/2020,2
09/03/2020,3
10/03/2020,5
11/03/2020,6
12/03/2020,6
13/03/2020,10
14/03/2020,10
15/03/2020,21
16/03/2020,35
17/03/2020,55
18/03/2020,60
19/03/2020,103
20/03/2020,144
21/03/2020,177
22/03/2020,233
23/03/2020,281
24/03/2020,335
25/03/2020,422
26/03/2020,463
27/03/2020,578
28/03/2020,759
29/03/2020,1019
30/03/2020,1228
31/03/2020,1408
01/04/2020,1789
02/04/2020,2532
03/04/2020,2921
04/04/2020,3605
05/04/2020,4313
06/04/2020,4934
07/04/2020,5373
08/04/2020,6159
09/04/2020,7097
10/04/2020,7978
11/04/2020,8958
12/04/2020,9875
13/04/2020,10612
14/04/2020,11329
15/04/2020,12107
16/04/2020,12868
17/04/2020,13729
18/04/2020,14576
19/04/2020,15464
20/04/2020,16060
21/04/2020,16509
22/04/2020,17337
23/04/2020,18100
24/04/2020,18738
25/04/2020,19506
26/04/2020,20319
27/04/2020,20732
